iter	Passed	Remaining
0	98	29467
1	149	22240
2	203	20139
3	265	19626
4	323	19058
5	387	19002
6	448	18752
7	509	18604
8	572	18525
9	627	18198
10	693	18207
11	755	18127
12	828	18283
13	928	18966
14	997	18959
15	1065	18912
16	1172	19525
17	1260	19750
18	1332	19704
19	1411	19764
20	1491	19815
21	1587	20058
22	1662	20018
23	1744	20065
24	1836	20202
25	1928	20319
26	2072	20955
27	2173	21111
28	2266	21176
29	2354	21190
30	2431	21101
31	2522	21124
32	2603	21065
33	2671	20898
34	2741	20759
35	2821	20690
36	2897	20595
37	3069	21160
38	3173	21235
39	3243	21080
40	3340	21101
41	3416	20986
42	3488	20847
43	3568	20760
44	3649	20679
45	3732	20607
46	3818	20555
47	3895	20452
48	4007	20530
49	4089	20447
50	4184	20428
51	4283	20429
52	4380	20413
53	4458	20310
54	4545	20247
55	4625	20153
56	4710	20080
57	4789	19982
58	4866	19879
59	4939	19756
60	5007	19618
61	5090	19542
62	5168	19444
63	5243	19335
64	5372	19425
65	5650	20034
66	6060	21075
67	6228	21250
68	6352	21266
69	6457	21216
70	6550	21128
71	6661	21094
72	6771	21055
73	6864	20964
74	6950	20852
75	7114	20970
76	7395	21417
77	7572	21551
78	7681	21488
79	7761	21345
80	7874	21289
81	7978	21209
82	8153	21317
83	8228	21158
84	8296	20984
85	8361	20805
86	8427	20632
87	8489	20452
88	8558	20289
89	8622	20118
90	8690	19960
91	8758	19801
92	8848	19694
93	8939	19591
94	9010	19444
95	9073	19280
96	9129	19105
97	9216	18996
98	9309	18900
99	9400	18800
100	9473	18665
101	9581	18599
102	9677	18510
103	9772	18417
104	9842	18278
105	9936	18184
106	10009	18054
107	10095	17948
108	10174	17829
109	10244	17694
110	10317	17567
111	10390	17440
112	10455	17303
113	10524	17171
114	10594	17042
115	10689	16955
116	10807	16904
117	10991	16953
118	11150	16959
119	11272	16909
120	11367	16817
121	11490	16765
122	11622	16725
123	11748	16675
124	11852	16593
125	11932	16478
126	12001	16348
127	12069	16218
128	12131	16080
129	12200	15954
130	12264	15821
131	12334	15698
132	12432	15610
133	12534	15528
134	12624	15429
135	12724	15344
136	12814	15246
137	12900	15144
138	12992	15048
139	13080	14948
140	13163	14843
141	13232	14723
142	13299	14601
143	13366	14480
144	13430	14356
145	13494	14233
146	13562	14115
147	13637	14005
148	13722	13906
149	13794	13794
150	13873	13689
151	13946	13579
152	14026	13476
153	14096	13364
154	14168	13254
155	14244	13148
156	14317	13040
157	14390	12933
158	14462	12824
159	14558	12738
160	14641	12640
161	14713	12533
162	14783	12425
163	14866	12328
164	14948	12230
165	15007	12114
166	15076	12006
167	15166	11916
168	15241	11814
169	15319	11714
170	15439	11647
171	15537	11562
172	15632	11476
173	15744	11401
174	15994	11424
175	16085	11333
176	16181	11245
177	16277	11156
178	16365	11062
179	16450	10966
180	16535	10871
181	16613	10771
182	16726	10693
183	16881	10642
184	16976	10552
185	17065	10459
186	17141	10358
187	17217	10257
188	17293	10156
189	17398	10072
190	17481	9976
191	17580	9888
192	17687	9806
193	17790	9720
194	17890	9633
195	18001	9551
196	18104	9465
197	18195	9373
198	18298	9287
199	18387	9193
200	18464	9094
201	18547	8998
202	18625	8899
203	18706	8802
204	18794	8709
205	18870	8610
206	18951	8514
207	19028	8416
208	19103	8317
209	19189	8224
210	19280	8132
211	19358	8035
212	19467	7951
213	19598	7875
214	19717	7795
215	19813	7705
216	19903	7613
217	19983	7516
218	20094	7432
219	20180	7338
220	20258	7241
221	20345	7148
222	20427	7053
223	20516	6960
224	20659	6886
225	20829	6820
226	21127	6794
227	21715	6857
228	21889	6786
229	21972	6687
230	22049	6586
231	22117	6482
232	22186	6379
233	22257	6277
234	22333	6177
235	22401	6075
236	22470	5973
237	22551	5874
238	22647	5780
239	22717	5679
240	22795	5580
241	22884	5484
242	22972	5388
243	23057	5291
244	23161	5199
245	23248	5103
246	23399	5020
247	23547	4937
248	23697	4853
249	23795	4759
250	23884	4662
251	24007	4572
252	24113	4479
253	24237	4389
254	24360	4298
255	24473	4206
256	24587	4113
257	24708	4022
258	24811	3927
259	24925	3834
260	25023	3739
261	25126	3644
262	25227	3549
263	25332	3454
264	25440	3360
265	25532	3263
266	25618	3166
267	25722	3071
268	25815	2975
269	25902	2878
270	25993	2781
271	26095	2686
272	26243	2595
273	26426	2507
274	26533	2412
275	26621	2314
276	26741	2220
277	27030	2139
278	27171	2045
279	27262	1947
280	27352	1849
281	27453	1752
282	27548	1654
283	27664	1558
284	27757	1460
285	27846	1363
286	27914	1264
287	27996	1166
288	28067	1068
289	28144	970
290	28292	875
291	28449	779
292	28546	681
293	28645	584
294	28732	486
295	28802	389
296	28874	291
297	28945	194
298	29022	97
299	29093	0
